Weather_Challenge,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Cape Town,ZA,2019-11-11 07:06:56,-33.93,18.42,66.0,82,90,6.93,overcast clouds,0.0,0.0
1,Rikitea,PF,2019-11-11 07:06:56,-23.12,-134.97,73.99,85,93,20.33,light rain,0.63,0.0
2,Ushuaia,AR,2019-11-11 07:06:46,-54.81,-68.31,50.0,61,75,4.7,broken clouds,0.0,0.0
3,New Norfolk,AU,2019-11-11 07:06:57,-42.78,147.06,73.4,38,85,24.16,overcast clouds,0.0,0.0
4,Kaeo,NZ,2019-11-11 07:06:57,-35.1,173.78,55.0,100,100,19.55,light rain,1.94,0.0
5,Hermanus,ZA,2019-11-11 07:06:57,-34.42,19.24,69.01,80,94,8.01,moderate rain,3.25,0.0
6,Tiksi,RU,2019-11-11 07:06:58,71.64,128.87,-4.06,98,100,2.53,light snow,0.0,0.0
7,Arlit,NE,2019-11-11 07:06:58,18.74,7.39,77.97,15,10,2.73,clear sky,0.0,0.0
8,East London,ZA,2019-11-11 07:06:58,-33.02,27.91,64.4,93,90,14.99,light intensity drizzle,0.0,0.0
9,Albany,US,2019-11-11 07:06:58,42.65,-73.75,41.0,64,90,1.48,overcast clouds,0.0,0.0
10,Wakkanai,JP,2019-11-11 07:06:59,45.41,141.67,48.2,76,75,13.87,broken clouds,0.0,0.0
11,Ixtapa,MX,2019-11-11 07:06:59,20.71,-105.21,81.0,94,40,2.24,scattered clouds,0.0,0.0
12,Thompson,CA,2019-11-11 07:06:59,55.74,-97.86,-22.01,74,5,3.91,clear sky,0.0,0.0
13,Saiha,IN,2019-11-11 07:06:59,22.49,92.98,79.79,56,58,3.8,light rain,0.31,0.0
14,Chokurdakh,RU,2019-11-11 07:07:00,70.62,147.9,3.85,92,100,4.72,overcast clouds,0.0,0.0
15,Norman Wells,CA,2019-11-11 07:07:00,65.28,-126.83,-5.81,76,20,3.36,few clouds,0.0,0.0
16,Ponta Do Sol,BR,2019-11-11 07:07:01,-20.63,-46.0,68.2,86,82,3.13,broken clouds,0.0,0.0
17,Bambanglipuro,ID,2019-11-11 07:07:01,-7.95,110.28,87.71,54,92,11.74,overcast clouds,0.0,0.0
18,Makakilo City,US,2019-11-11 07:04:59,21.35,-158.09,78.8,78,90,2.64,overcast clouds,0.0,0.0
19,Busselton,AU,2019-11-11 07:07:01,-33.64,115.35,78.01,21,0,5.32,clear sky,0.0,0.0
20,Bredasdorp,ZA,2019-11-11 07:07:02,-34.53,20.04,69.01,72,99,13.87,overcast clouds,0.0,0.0
21,Aasiaat,GL,2019-11-11 07:07:02,68.71,-52.87,37.83,47,90,24.76,overcast clouds,0.0,0.0
22,Ziezmariai,LT,2019-11-11 07:07:02,54.8,24.45,43.0,93,90,3.36,mist,0.0,0.0
23,Chok Chai,TH,2019-11-11 07:07:03,14.73,102.17,86.0,42,36,9.17,scattered clouds,0.0,0.0
24,Punta Arenas,CL,2019-11-11 07:04:47,-53.16,-70.91,46.4,87,75,4.7,broken clouds,0.0,0.0
25,San Quintin,PH,2019-11-11 07:07:03,17.54,120.52,82.6,73,2,6.24,clear sky,0.0,0.0
26,Sola,TZ,2019-11-11 07:07:03,-3.17,33.8,75.24,59,100,8.03,overcast clouds,0.0,0.0
27,Qaanaaq,GL,2019-11-11 07:07:04,77.48,-69.36,2.39,44,0,4.72,clear sky,0.0,0.0
28,Butaritari,KI,2019-11-11 07:07:04,3.07,172.79,84.78,70,41,8.55,scattered clouds,0.0,0.0
29,Yuzhnyy,RU,2019-11-11 07:07:04,53.54,39.45,40.75,91,99,13.76,overcast clouds,0.0,0.0
30,Cidreira,BR,2019-11-11 07:07:04,-30.17,-50.22,69.87,77,86,17.6,light rain,0.19,0.0
31,Margate,AU,2019-11-11 07:07:05,-43.03,147.26,73.4,43,100,24.16,overcast clouds,0.0,0.0
32,Eureka,US,2019-11-11 07:07:05,40.8,-124.16,51.01,93,75,3.87,mist,0.0,0.0
33,Kaitangata,NZ,2019-11-11 07:07:06,-46.28,169.85,48.0,57,100,11.01,overcast clouds,0.0,0.0
34,Itacare,BR,2019-11-11 07:07:06,-14.28,-39.0,73.9,90,10,4.99,light rain,0.19,0.0
35,Ribeira Grande,PT,2019-11-11 07:07:06,38.52,-28.7,62.02,83,72,2.71,broken clouds,0.0,0.0
36,Mataura,NZ,2019-11-11 07:07:06,-46.19,168.86,50.0,63,87,8.99,overcast clouds,0.0,0.0
37,Agadez,NE,2019-11-11 07:07:07,16.97,7.99,73.4,27,48,6.93,scattered clouds,0.0,0.0
38,Labuhan,ID,2019-11-11 07:07:07,-2.54,115.51,85.75,72,51,2.33,moderate rain,3.12,0.0
39,Porbandar,IN,2019-11-11 07:07:07,21.64,69.61,87.8,45,20,4.7,few clouds,0.0,0.0
40,Buy,RU,2019-11-11 07:07:07,58.48,41.53,41.47,94,100,9.4,overcast clouds,0.0,0.0
41,Kruisfontein,ZA,2019-11-11 07:07:08,-34.0,24.73,68.9,70,77,21.34,broken clouds,0.0,0.0
42,Ostrovnoy,RU,2019-11-11 07:07:08,68.05,39.51,24.39,90,100,11.52,light snow,0.0,0.0
43,Kapaa,US,2019-11-11 07:07:08,22.08,-159.32,77.0,94,90,3.36,overcast clouds,0.0,0.0
44,Atuona,PF,2019-11-11 07:07:08,-9.8,-139.03,80.64,67,59,9.42,broken clouds,0.0,0.0
45,Canora,CA,2019-11-11 07:07:09,51.64,-102.43,-4.01,83,1,11.41,clear sky,0.0,0.0
46,Olinda,AU,2019-11-11 07:07:09,-37.84,145.39,86.0,17,37,17.22,scattered clouds,0.0,0.0
47,Puerto Ayora,EC,2019-11-11 07:06:40,-0.74,-90.35,70.0,87,5,9.69,clear sky,0.0,0.0
48,Atar,MR,2019-11-11 07:07:10,20.52,-13.05,67.41,20,25,11.65,scattered clouds,0.0,0.0
49,Atherton,AU,2019-11-11 07:07:10,-17.27,145.48,84.99,54,31,10.29,scattered clouds,0.0,0.0
50,Longyearbyen,NO,2019-11-11 07:07:10,78.22,15.63,21.2,79,75,3.36,light snow,0.0,0.0
51,Leshukonskoye,RU,2019-11-11 07:07:10,64.9,45.76,22.41,95,99,6.35,light snow,0.0,0.0
52,Vaini,IN,2019-11-11 07:07:11,15.34,74.49,82.4,58,20,6.93,few clouds,0.0,0.0
53,Hamilton,CA,2019-11-11 07:02:16,43.26,-79.87,33.01,93,90,6.93,overcast clouds,0.0,0.0
54,Severo-Kurilsk,RU,2019-11-11 07:07:11,50.68,156.12,28.78,78,75,20.18,light snow,0.0,0.0
55,Kailua,US,2019-11-11 07:07:12,21.39,-157.74,78.8,78,90,7.87,overcast clouds,0.0,0.0
56,Chuy,UY,2019-11-11 07:07:12,-33.69,-53.46,59.54,85,5,9.42,clear sky,0.0,0.0
57,Saint-Augustin,CA,2019-11-11 07:07:12,45.63,-73.98,28.99,79,90,12.75,light snow,0.0,0.0
58,Upernavik,GL,2019-11-11 07:07:12,72.79,-56.15,24.93,62,88,3.47,overcast clouds,0.0,0.0
59,Mar Del Plata,AR,2019-11-11 07:07:13,-46.43,-67.52,52.23,75,18,3.13,few clouds,0.0,0.0
60,Cabo San Lucas,MX,2019-11-11 07:06:58,22.89,-109.91,80.01,64,40,4.7,scattered clouds,0.0,0.0
61,Saint-Philippe,CA,2019-11-11 07:07:13,45.36,-73.48,30.99,79,90,12.75,light snow,0.0,0.0
62,Moberly,US,2019-11-11 07:07:14,39.42,-92.44,41.0,75,90,14.99,overcast clouds,0.0,0.0
63,Hobart,AU,2019-11-11 07:07:14,-42.88,147.33,73.4,43,100,24.16,overcast clouds,0.0,0.0
64,Bluff,AU,2019-11-11 07:07:14,-23.58,149.07,91.04,11,15,2.84,few clouds,0.0,0.0
65,Puerto Escondido,MX,2019-11-11 07:07:14,15.86,-97.07,70.92,80,49,3.11,scattered clouds,0.0,0.0
66,Store Heddinge,DK,2019-11-11 07:07:15,55.31,12.39,44.6,93,88,8.05,mist,0.0,0.0
67,Chiang Rai,TH,2019-11-11 07:07:15,19.9,99.84,86.0,58,40,3.36,scattered clouds,0.0,0.0
68,San Cristobal,HN,2019-11-11 07:07:15,14.68,-86.92,64.58,99,100,2.59,light rain,0.81,0.0
69,Port Alfred,ZA,2019-11-11 07:07:16,-33.59,26.89,64.0,95,100,7.0,light rain,1.25,0.0
70,Srednekolymsk,RU,2019-11-11 07:07:16,67.46,153.71,-6.02,96,41,3.42,scattered clouds,0.0,0.0
71,Parnarama,BR,2019-11-11 07:07:16,-5.68,-43.09,77.56,70,100,3.67,overcast clouds,0.0,0.0
72,Tura,RU,2019-11-11 07:07:16,64.27,100.22,-12.18,91,100,2.98,overcast clouds,0.0,0.0
73,Viedma,AR,2019-11-11 07:07:17,-40.81,-62.99,54.57,88,100,15.01,moderate rain,3.37,0.0
74,Negombo,LK,2019-11-11 07:07:17,7.21,79.83,84.2,79,40,6.93,scattered clouds,0.0,0.0
75,Provideniya,RU,2019-11-11 07:07:18,64.42,-173.23,37.4,98,75,17.9,extreme rain,0.0,0.0
76,Rio Gallegos,AR,2019-11-11 07:07:19,-51.62,-69.22,50.0,76,75,8.05,broken clouds,0.0,0.0
77,Carnarvon,ZA,2019-11-11 07:07:19,-30.97,22.13,69.58,37,65,14.83,broken clouds,0.0,0.0
78,Opoczno,PL,2019-11-11 07:07:19,51.38,20.29,42.01,89,67,5.84,broken clouds,0.0,0.0
79,Port Elizabeth,US,2019-11-11 07:07:20,39.31,-74.98,52.0,84,1,4.7,clear sky,0.0,0.0
80,Tuatapere,NZ,2019-11-11 07:07:20,-46.13,167.69,50.0,63,70,8.99,light rain,0.12,0.0
81,Saint George,GR,2019-11-11 07:07:20,39.45,22.34,57.2,67,20,5.82,few clouds,0.0,0.0
82,Vanavara,RU,2019-11-11 07:07:20,60.35,102.28,-8.22,89,88,6.51,overcast clouds,0.0,0.0
83,Hasaki,JP,2019-11-11 07:07:21,35.73,140.83,66.2,68,75,5.82,broken clouds,0.0,0.0
84,Panzhihua,CN,2019-11-11 07:07:21,26.59,101.72,66.0,64,87,3.44,overcast clouds,0.0,0.0
85,Lebu,ET,2019-11-11 07:07:21,8.96,38.73,60.71,59,74,4.09,broken clouds,0.0,0.0
86,Lagoa,PT,2019-11-11 07:07:21,37.14,-8.45,61.0,87,20,9.17,few clouds,0.0,0.0
87,Nova Vicosa,BR,2019-11-11 07:07:22,-17.89,-39.37,73.65,87,43,8.39,scattered clouds,0.0,0.0
88,Muisne,EC,2019-11-11 07:07:22,0.61,-80.02,74.32,87,100,6.06,overcast clouds,0.0,0.0
89,Buraydah,SA,2019-11-11 07:07:22,26.33,43.97,73.4,73,20,12.75,dust,0.0,0.0
90,Jamestown,AU,2019-11-11 07:07:23,-33.21,138.6,87.49,8,0,19.71,clear sky,0.0,0.0
91,Mareeba,AU,2019-11-11 07:07:23,-16.99,145.42,84.99,54,16,10.29,few clouds,0.0,0.0
92,Fort Nelson,CA,2019-11-11 07:07:23,58.81,-122.69,-7.61,76,5,2.24,clear sky,0.0,0.0
93,Iqaluit,CA,2019-11-11 07:07:23,63.75,-68.52,12.2,85,90,9.17,light snow,0.0,0.0
94,Coquimbo,CL,2019-11-11 07:07:24,-29.95,-71.34,57.2,87,90,4.7,overcast clouds,0.0,0.0
95,Nikolskoye,RU,2019-11-11 07:07:24,59.7,30.79,43.0,93,90,6.71,overcast clouds,0.0,0.0
96,Rorvik,NO,2019-11-11 07:07:24,64.86,11.24,25.0,73,75,11.41,light snow,0.0,0.0
97,Capinota,BO,2019-11-11 07:07:24,-17.71,-66.26,57.2,93,90,0.58,overcast clouds,0.0,0.0
98,Henties Bay,NA,2019-11-11 07:07:25,-22.12,14.28,61.0,88,91,1.01,overcast clouds,0.0,0.0
99,Salinopolis,BR,2019-11-11 07:07:25,-0.61,-47.36,81.48,81,81,13.4,broken clouds,0.0,0.0
100,Barrow,AR,2019-11-11 07:07:25,-38.31,-60.23,56.12,91,83,11.56,broken clouds,0.0,0.0
101,Brigantine,US,2019-11-11 07:07:26,39.41,-74.36,54.0,79,1,4.41,clear sky,0.0,0.0
102,Vrangel,RU,2019-11-11 07:07:26,42.73,133.08,46.51,95,100,12.48,light rain,0.63,0.0
103,Hithadhoo,MV,2019-11-11 07:07:26,-0.6,73.08,83.41,68,100,7.34,overcast clouds,0.0,0.0
104,Tuktoyaktuk,CA,2019-11-11 07:07:26,69.44,-133.03,14.0,72,5,19.46,clear sky,0.0,0.0
105,Sladkovo,RU,2019-11-11 07:07:27,55.53,70.34,24.71,49,97,9.4,overcast clouds,0.0,0.0
106,Amga,RU,2019-11-11 07:07:27,60.89,131.98,-0.41,93,88,3.53,light snow,0.0,0.0
107,Okhotsk,RU,2019-11-11 07:07:27,59.36,143.24,10.47,78,25,9.6,scattered clouds,0.0,0.0
108,Lorengau,PG,2019-11-11 07:07:28,-2.02,147.27,84.06,71,78,8.3,moderate rain,4.31,0.0
109,Araouane,ML,2019-11-11 07:07:28,18.9,-3.53,68.52,18,30,13.8,scattered clouds,0.0,0.0
110,Garowe,SO,2019-11-11 07:07:28,8.41,48.48,75.96,62,1,9.35,clear sky,0.0,0.0
111,Haines Junction,CA,2019-11-11 07:07:28,60.75,-137.51,2.48,50,0,1.5,clear sky,0.0,0.0
112,Elat,CM,2019-11-11 07:07:29,2.91,11.16,67.86,98,89,1.57,overcast clouds,0.0,0.0
113,Catuday,PH,2019-11-11 07:07:29,16.29,119.81,82.04,71,53,7.4,broken clouds,0.0,0.0
114,Klaksvik,FO,2019-11-11 07:07:30,62.23,-6.59,37.4,74,100,21.92,light rain,0.31,0.0
115,Sur,OM,2019-11-11 07:07:30,22.57,59.53,76.87,59,4,10.49,light rain,2.31,0.0
116,Nabire,ID,2019-11-11 07:07:30,-3.36,135.5,90.66,48,85,5.5,overcast clouds,0.0,0.0
117,Gasa,BT,2019-11-11 07:07:30,27.91,89.73,40.41,35,0,9.8,clear sky,0.0,0.0
118,Kupang,ID,2019-11-11 07:07:30,-10.16,123.6,89.6,59,20,12.75,few clouds,0.0,0.0
119,Kavaratti,IN,2019-11-11 07:07:31,10.57,72.64,87.8,70,40,6.93,scattered clouds,0.0,0.0
120,Havoysund,NO,2019-11-11 07:07:31,71.0,24.66,26.6,79,20,14.99,few clouds,0.0,0.0
121,Venancio Aires,BR,2019-11-11 07:07:31,-29.61,-52.19,68.0,89,82,1.01,broken clouds,0.0,0.0
122,Clovis,US,2019-11-11 07:07:32,36.83,-119.7,60.01,76,1,5.01,clear sky,0.0,0.0
123,Tasiilaq,GL,2019-11-11 07:07:32,65.61,-37.64,37.4,85,100,35.57,light rain,0.0,0.0
124,Jiuquan,CN,2019-11-11 07:07:32,39.73,98.49,40.8,22,33,3.31,scattered clouds,0.0,0.0
125,Shelburne,CA,2019-11-11 07:07:32,44.08,-80.2,30.2,92,90,2.24,overcast clouds,0.0,0.0
126,Caravelas,BR,2019-11-11 07:07:33,-17.73,-39.27,69.28,96,4,7.2,clear sky,0.0,0.0
127,Chara,GR,2019-11-11 07:07:33,39.42,22.43,57.2,67,20,5.82,few clouds,0.0,0.0
128,Pevek,RU,2019-11-11 07:07:33,69.7,170.27,14.43,66,49,0.67,scattered clouds,0.0,0.0
129,Codrington,AU,2019-11-11 07:07:33,-28.95,153.24,78.8,50,90,17.22,overcast clouds,0.0,0.0
130,Fortuna,US,2019-11-11 07:07:34,40.6,-124.16,51.01,93,90,6.93,overcast clouds,0.0,0.0
131,Touros,BR,2019-11-11 07:07:34,-5.2,-35.46,73.4,88,40,3.36,scattered clouds,0.0,0.0
132,Leopold,US,2019-11-11 07:07:34,38.1,-86.58,50.0,100,20,4.5,mist,0.0,0.0
