Weather_Challenge_p2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,66.0,overcast clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
2,Ushuaia,AR,50.0,broken clouds,-54.81,-68.31,Albatros Hotel
8,East London,ZA,64.4,light intensity drizzle,-33.02,27.91,Tu Casa
9,Albany,US,41.0,overcast clouds,42.65,-73.75,Hilton Albany
10,Wakkanai,JP,48.2,broken clouds,45.41,141.67,Hyōsetsu-sō
16,Ponta Do Sol,BR,68.2,broken clouds,-20.63,-46.0,Hotel Escarpas do Lago
20,Bredasdorp,ZA,69.01,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
21,Aasiaat,GL,37.83,overcast clouds,68.71,-52.87,Hotel Aasiaat Sømandshjem
22,Ziezmariai,LT,43.0,mist,54.8,24.45,Dalios kaimo sodyba
24,Punta Arenas,CL,46.4,broken clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
29,Yuzhnyy,RU,40.75,overcast clouds,53.54,39.45,Don
32,Eureka,US,51.01,mist,40.8,-124.16,Eureka Inn
33,Kaitangata,NZ,48.0,overcast clouds,-46.28,169.85,
35,Ribeira Grande,PT,62.02,broken clouds,38.52,-28.7,Quinta da Meia Eira
36,Mataura,NZ,50.0,overcast clouds,-46.19,168.86,Ellie's Villa
40,Buy,RU,41.47,overcast clouds,58.48,41.53,Hotel Variant C
41,Kruisfontein,ZA,68.9,broken clouds,-34.0,24.73,Oyster Bay House Rental
42,Ostrovnoy,RU,24.39,light snow,68.05,39.51,
47,Puerto Ayora,EC,70.0,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
48,Atar,MR,67.41,scattered clouds,20.52,-13.05,Oumou Elghoura
50,Longyearbyen,NO,21.2,light snow,78.22,15.63,"Radisson Blu Polar Hotel, Spitsbergen"
51,Leshukonskoye,RU,22.41,light snow,64.9,45.76,Gostinitsa Mup Zhkkh
53,Hamilton,CA,33.01,overcast clouds,43.26,-79.87,Sheraton Hamilton Hotel
54,Severo-Kurilsk,RU,28.78,light snow,50.68,156.12,Kak Doma
56,Chuy,UY,59.54,clear sky,-33.69,-53.46,Nuevo Hotel Plaza
57,Saint-Augustin,CA,28.99,light snow,45.63,-73.98,Chez Felicia
58,Upernavik,GL,24.93,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
59,Mar Del Plata,AR,52.23,few clouds,-46.43,-67.52,Hotel Costanera Del Sur
61,Saint-Philippe,CA,30.99,light snow,45.36,-73.48,Camping St-Andre
62,Moberly,US,41.0,overcast clouds,39.42,-92.44,Super 8 by Wyndham Moberly MO
66,Store Heddinge,DK,44.6,mist,55.31,12.39,Vangeled Gaard B&B
75,Provideniya,RU,37.4,extreme rain,64.42,-173.23,
76,Rio Gallegos,AR,50.0,broken clouds,-51.62,-69.22,Hotel Santa Cruz
77,Carnarvon,ZA,69.58,broken clouds,-30.97,22.13,Meerkat Manor
78,Opoczno,PL,42.01,broken clouds,51.38,20.29,Hotel Restauracja Park
79,Port Elizabeth,US,52.0,clear sky,39.31,-74.98,HAMMER RUN
81,Saint George,GR,57.2,few clouds,39.45,22.34,
83,Hasaki,JP,66.2,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
84,Panzhihua,CN,66.0,overcast clouds,26.59,101.72,Electric Power Hotel
85,Lebu,ET,60.71,broken clouds,8.96,38.73,Dah-Lak Guest House
86,Lagoa,PT,61.0,few clouds,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
94,Coquimbo,CL,57.2,overcast clouds,-29.95,-71.34,Hotel San Juan
95,Nikolskoye,RU,43.0,overcast clouds,59.7,30.79,Tourist House - Sablino
96,Rorvik,NO,25.0,light snow,64.86,11.24,Hagaheim Seafishing
97,Capinota,BO,57.2,overcast clouds,-17.71,-66.26,
98,Henties Bay,,61.0,overcast clouds,-22.12,14.28,Fishermans Guest House
100,Barrow,AR,56.12,broken clouds,-38.31,-60.23,
101,Brigantine,US,54.0,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
105,Sladkovo,RU,24.71,overcast clouds,55.53,70.34,Uyutnaya
109,Araouane,ML,68.52,scattered clouds,18.9,-3.53,
112,Elat,CM,67.86,overcast clouds,2.91,11.16,Florence Hotel Ebolowa
117,Gasa,BT,40.41,clear sky,27.91,89.73,Dzongkhag Guest House
120,Havoysund,NO,26.6,few clouds,71.0,24.66,Arctic View Glamping & Restaurant
121,Venancio Aires,BR,68.0,broken clouds,-29.61,-52.19,Hotel Guest
122,Clovis,US,60.01,clear sky,36.83,-119.7,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
123,Tasiilaq,GL,37.4,light rain,65.61,-37.64,The Red House
124,Jiuquan,CN,40.8,scattered clouds,39.73,98.49,Jiuquan Hotel
125,Shelburne,CA,30.2,overcast clouds,44.08,-80.2,The Retreat at the Farm
126,Caravelas,BR,69.28,clear sky,-17.73,-39.27,Pousada Dos Navegantes
127,Chara,GR,57.2,few clouds,39.42,22.43,
130,Fortuna,US,51.01,overcast clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
132,Leopold,US,50.0,mist,38.1,-86.58,
133,Isla Vista,US,60.8,fog,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
134,Saldanha,PT,43.9,overcast clouds,41.42,-6.55,
138,Mindelo,PT,57.99,overcast clouds,41.31,-8.72,Santana Hotel & Spa
