Weather_Challenge_p2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Jamestown,AU,65.59,clear sky,-33.21,138.6,Jamestown Motel Terraces
4,Zhezkazgan,KZ,41.77,overcast clouds,47.8,67.71,Kvartiry Posutochno.
5,New Norfolk,AU,63.0,few clouds,-42.78,147.06,The Shingles Riverside Cottages
6,Port Lincoln,AU,61.72,clear sky,-34.72,135.86,Port Lincoln Hotel
10,Bredasdorp,ZA,64.0,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
13,Ushuaia,AR,44.6,scattered clouds,-54.81,-68.31,Albatros Hotel
16,Agdas,AZ,35.6,mist,40.65,47.48,Ağdaş Şəhər Dəhnəxəlil Kəndi
17,Vaini,IN,64.4,fog,15.34,74.49,Dandeli Lake County
18,Punta Arenas,CL,46.4,clear sky,-53.16,-70.91,Hotel Dreams Del Estrecho
22,Gornyak,KZ,27.5,snow,51.0,81.46,Komfort
28,Nanortalik,GL,36.55,snow,60.14,-45.24,"Hotel Tupilak, Nanortalik"
29,Albany,US,35.6,few clouds,42.65,-73.75,Hilton Albany
30,Traverse City,US,39.2,overcast clouds,44.76,-85.62,Bayshore Resort
32,Ushibuka,JP,63.41,few clouds,32.19,130.02,民宿ほてい
35,Lebu,ET,57.2,few clouds,8.96,38.73,Dah-Lak Guest House
36,Kodiak,US,55.99,clear sky,39.95,-94.76,
38,Kunda,EE,42.62,overcast clouds,59.5,26.52,katusekorter
39,Xining,CN,27.79,clear sky,36.62,101.77,Super Leisure Hotel
41,Narsaq,GL,48.2,light snow,60.91,-46.05,Hotel Narsaq
42,Carnarvon,ZA,62.74,overcast clouds,-30.97,22.13,Meerkat Manor
44,Bambous Virieux,MU,70.0,few clouds,-20.34,57.76,Casa Tia Villa
45,Busselton,AU,69.01,few clouds,-33.64,115.35,Observatory Guest House
47,Hermanus,ZA,64.0,broken clouds,-34.42,19.24,Misty Waves Boutique Hotel
48,Sala,SE,36.0,overcast clouds,59.92,16.61,Sala Silver Mine
49,Gravdal,NO,35.01,clear sky,59.79,5.78,Asalneset 54
54,Tezu,IN,65.98,overcast clouds,27.93,96.16,Circuit House
58,Riviere-Au-Renard,CA,24.8,broken clouds,49.0,-64.4,Auberge Le Caribou
60,Chute-Aux-Outardes,CA,28.4,light snow,49.12,-68.38,Camp St-Paul Gite Plein-Air
66,Gloggnitz,AT,41.0,overcast clouds,47.68,15.94,Gasthof-Pension Bock-Rasner
67,Karaman,TR,47.23,clear sky,37.18,33.22,Demosan Hotel
70,Barrow,AR,50.18,few clouds,-38.31,-60.23,
74,Halden,SE,33.01,overcast clouds,59.12,11.39,Park Hotel Halden
76,Tasiilaq,GL,33.8,light rain,65.61,-37.64,The Red House
78,Livingston,US,50.0,clear sky,32.58,-88.19,Comfort Inn
80,Changping,CN,52.0,light rain,40.22,116.23,Huachang Hotel
82,Port Alfred,ZA,64.99,overcast clouds,-33.59,26.89,The Halyards Hotel
