City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Muttupet,IN,2019-11-08 04:22:18,10.4,79.48,83.82,71,6,4.36
1,Mataura,NZ,2019-11-08 04:22:18,-46.19,168.86,68.45,39,37,11.21
2,Torbay,CA,2019-11-08 04:22:18,47.66,-52.73,37.4,69,75,13.87
3,Baghdad,IQ,2019-11-08 04:20:31,33.3,44.38,55.4,50,0,4.7
4,Kremenki,RU,2019-11-08 04:22:19,54.51,48.87,37.4,69,90,6.71
5,Chuy,UY,2019-11-08 04:22:19,-33.69,-53.46,61.79,85,0,6.06
6,Nikolskoye,RU,2019-11-08 04:22:19,59.7,30.79,26.6,92,75,6.71
7,Saskylakh,RU,2019-11-08 04:22:20,71.97,114.09,-24.83,98,0,5.91
8,Butaritari,KI,2019-11-08 04:22:20,3.07,172.79,84.27,67,30,6.17
9,Yerbogachen,RU,2019-11-08 04:22:20,61.28,108.01,11.84,92,100,9.82
10,East London,ZA,2019-11-08 04:22:21,-33.02,27.91,62.6,59,20,17.22
11,Albany,US,2019-11-08 04:19:49,42.65,-73.75,33.8,74,75,16.11
12,Port Alfred,ZA,2019-11-08 04:22:21,-33.59,26.89,60.3,73,82,18.57
13,Abu Zabad,SD,2019-11-08 04:22:21,12.35,29.25,76.32,21,0,12.77
14,Bluff,AU,2019-11-08 04:22:22,-23.58,149.07,96.24,11,0,11.68
15,Vanimo,PG,2019-11-08 04:22:22,-2.67,141.3,84.24,68,100,5.44
16,Busselton,AU,2019-11-08 04:22:22,-33.64,115.35,70.32,52,0,8.95
17,Sassandra,CI,2019-11-08 04:22:23,4.95,-6.09,76.75,89,1,1.01
18,Puerto Ayora,EC,2019-11-08 04:22:23,-0.74,-90.35,69.37,90,87,7.76
19,Mehamn,NO,2019-11-08 04:22:23,71.03,27.85,24.8,100,75,6.93
20,Punta Arenas,CL,2019-11-08 04:22:23,-53.16,-70.91,35.6,81,20,4.7
21,Port Hardy,CA,2019-11-08 04:22:24,50.7,-127.42,50.0,76,90,8.05
22,Bredasdorp,ZA,2019-11-08 04:22:24,-34.53,20.04,55.4,82,14,1.12
23,Nova Soure,BR,2019-11-08 04:22:24,-11.24,-38.48,66.54,96,9,4.47
24,Karratha,AU,2019-11-08 04:22:25,-20.74,116.85,85.23,48,8,6.38
25,Atuona,PF,2019-11-08 04:22:20,-9.8,-139.03,80.44,79,0,13.82
26,Dzilam Gonzalez,MX,2019-11-08 04:22:25,21.28,-88.93,81.61,79,0,15.55
27,Beloha,MG,2019-11-08 04:22:26,-25.17,45.06,74.77,53,0,7.0
28,Cherskiy,RU,2019-11-08 04:22:26,68.75,161.3,20.12,75,100,8.1
29,Yellowknife,CA,2019-11-08 04:22:26,62.45,-114.38,14.0,78,90,6.93
30,Sur,OM,2019-11-08 04:22:26,22.57,59.53,73.74,68,0,1.99
31,Ushuaia,AR,2019-11-08 04:22:27,-54.81,-68.31,35.6,96,40,26.4
32,Klaksvik,FO,2019-11-08 04:22:27,62.23,-6.59,32.0,62,80,2.24
33,Teeli,RU,2019-11-08 04:22:27,51.01,90.2,29.86,63,84,2.37
34,Saldanha,PT,2019-11-08 04:22:27,41.42,-6.55,37.87,91,20,9.26
35,Saint-Philippe,CA,2019-11-08 04:22:28,45.36,-73.48,30.2,74,90,6.93
36,Sao Miguel Do Araguaia,BR,2019-11-08 04:22:28,-13.28,-50.16,79.7,67,100,3.85
37,Mayo,CA,2019-11-08 04:22:28,63.59,-135.9,15.8,85,90,4.16
38,Tuchola,PL,2019-11-08 04:22:28,53.59,17.86,32.0,93,90,5.82
39,Pitimbu,BR,2019-11-08 04:22:29,-7.47,-34.81,77.0,83,75,3.36
40,Wanning,AT,2019-11-08 04:22:29,48.64,13.53,41.0,100,75,9.17
41,Bhunya,SZ,2019-11-08 04:22:29,-26.54,31.01,59.61,95,100,3.4
42,Leningradskiy,RU,2019-11-08 04:22:29,69.38,178.42,19.15,85,7,18.59
43,Barrow,AR,2019-11-08 04:22:30,-38.31,-60.23,43.27,91,2,6.91
44,Rikitea,PF,2019-11-08 04:22:30,-23.12,-134.97,74.07,85,93,13.06
45,Comodoro Rivadavia,AR,2019-11-08 04:21:09,-45.87,-67.48,55.4,37,56,14.99
46,New Norfolk,AU,2019-11-08 04:22:30,-42.78,147.06,50.0,61,75,12.75
47,Lebu,ET,2019-11-08 04:22:31,8.96,38.73,55.4,62,75,2.24
48,Ahipara,NZ,2019-11-08 04:22:31,-35.17,173.16,64.35,92,69,13.35
49,Hay River,CA,2019-11-08 04:22:31,60.82,-115.79,14.0,85,75,4.7
50,Severo-Kurilsk,RU,2019-11-08 04:22:31,50.68,156.12,33.51,77,76,23.17
51,Lasa,CY,2019-11-08 04:22:32,34.92,32.53,69.8,48,0,6.93
52,Vostok,RU,2019-11-08 04:22:32,46.45,135.83,17.67,70,98,8.97
53,Axim,GH,2019-11-08 04:22:32,4.87,-2.24,75.07,94,0,0.83
54,Georgetown,GY,2019-11-08 04:17:40,6.8,-58.16,75.2,100,20,2.24
55,Abdanan,IR,2019-11-08 04:22:33,32.99,47.42,57.78,34,0,3.71
56,Brenes,ES,2019-11-08 04:22:33,37.55,-5.87,50.0,76,0,5.82
57,Komsomolskiy,RU,2019-11-08 04:22:33,67.55,63.78,0.81,97,100,4.29
58,Oistins,BB,2019-11-08 04:22:34,13.07,-59.53,82.4,74,40,19.46
59,Baymak,RU,2019-11-08 04:22:34,52.6,58.31,40.86,93,100,13.62
60,Vuktyl,RU,2019-11-08 04:22:34,63.86,57.31,1.72,97,91,4.36
61,Xinmin,CN,2019-11-08 04:22:34,42.0,122.83,50.0,31,0,6.71
62,Broken Hill,AU,2019-11-08 04:22:35,-31.97,141.45,68.0,28,40,28.86
63,Fortuna,US,2019-11-08 04:22:35,40.6,-124.16,48.2,100,90,6.93
64,Ibra,OM,2019-11-08 04:22:36,22.69,58.55,72.03,71,0,5.68
65,Pyapon,MM,2019-11-08 04:22:36,16.29,95.68,79.86,86,89,4.74
66,Buffalo,US,2019-11-08 04:17:41,42.89,-78.88,35.6,86,90,9.17
67,Tuktoyaktuk,CA,2019-11-08 04:22:37,69.44,-133.03,12.2,72,90,18.34
68,Nantucket,US,2019-11-08 04:18:26,41.28,-70.1,53.6,87,90,13.87
69,Cape Town,ZA,2019-11-08 04:20:02,-33.93,18.42,59.0,67,8,18.34
70,Whitehorse,CA,2019-11-08 04:22:05,60.72,-135.06,28.4,100,90,5.82
71,Broome,GB,2019-11-08 04:22:38,52.47,1.45,35.6,100,0,3.36
72,Kapaa,US,2019-11-08 04:22:38,22.08,-159.32,78.8,65,75,8.05
73,Norman Wells,CA,2019-11-08 04:22:38,65.28,-126.83,12.2,78,90,10.29
74,Mount Isa,AU,2019-11-08 04:22:39,-20.73,139.49,100.4,6,0,17.22
75,Beba,CU,2019-11-08 04:22:39,22.44,-79.73,73.4,88,20,11.01
76,Victoria,BN,2019-11-08 04:21:28,5.28,115.24,87.8,66,75,4.7
77,Hilo,US,2019-11-08 04:22:39,19.71,-155.08,80.6,65,40,3.36
78,Ternovka,RU,2019-11-08 04:22:40,51.69,41.59,52.05,95,100,4.32
79,Turukhansk,RU,2019-11-08 04:22:40,65.8,87.96,6.08,98,93,5.44
80,Glenwood Springs,US,2019-11-08 04:22:40,39.55,-107.33,35.6,46,1,9.17
81,Calbuco,CL,2019-11-08 04:22:41,-41.77,-73.13,44.6,81,100,9.17
82,Upernavik,GL,2019-11-08 04:22:41,72.79,-56.15,8.51,66,0,5.1
83,Plettenberg Bay,ZA,2019-11-08 04:22:41,-34.05,23.37,59.04,74,100,8.52
84,Hofn,IS,2019-11-08 04:22:41,64.25,-15.21,39.24,70,99,6.35
85,Raudeberg,NO,2019-11-08 04:22:42,61.99,5.14,32.0,61,33,8.05
86,Tual,ID,2019-11-08 04:22:42,-5.67,132.75,82.65,74,93,3.22
87,Jamestown,AU,2019-11-08 04:22:42,-33.21,138.6,58.96,36,57,22.77
88,Bethel,US,2019-11-08 04:17:54,60.79,-161.76,30.2,92,90,14.99
89,Jagdalpur,IN,2019-11-08 04:22:43,19.09,82.02,68.16,74,100,7.47
90,Brownsville,US,2019-11-08 04:22:43,25.91,-97.49,77.0,88,75,3.36
91,Cabo San Lucas,MX,2019-11-08 04:22:43,22.89,-109.91,78.8,74,90,4.7
92,Terrace,CA,2019-11-08 04:22:05,54.52,-128.61,37.4,100,90,4.7
93,Ginir,ET,2019-11-08 04:22:44,7.14,40.71,55.9,93,87,2.39
94,Hermanus,ZA,2019-11-08 04:22:44,-34.42,19.24,59.38,81,5,11.3
95,Muroto,JP,2019-11-08 04:22:44,33.37,134.14,71.6,35,40,13.87
96,Ribeira Grande,PT,2019-11-08 04:22:44,38.52,-28.7,62.08,82,80,5.23
97,Camopi,GF,2019-11-08 04:22:45,3.17,-52.33,72.91,87,55,2.62
98,Castro,CL,2019-11-08 04:22:45,-42.48,-73.76,35.65,94,97,2.89
99,Arraial Do Cabo,BR,2019-11-08 04:22:19,-22.97,-42.02,72.77,91,100,14.34
100,Sinnamary,GF,2019-11-08 04:22:46,5.38,-52.96,82.24,81,99,15.99
101,Tiksi,RU,2019-11-08 04:22:46,71.64,128.87,-5.68,96,94,5.68
102,Ostersund,SE,2019-11-08 04:20:06,63.18,14.64,24.8,85,100,3.36
103,Vorukh,KG,2019-11-08 04:22:47,39.85,70.57,34.84,55,0,0.96
104,Bousse,FR,2019-11-08 04:22:47,49.28,6.2,41.0,100,40,4.7
105,Avarua,CK,2019-11-08 04:22:47,-21.21,-159.78,75.2,78,100,12.75
